number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.7121389984063599,0.005909594310723796,0.7717771994262627,rmse,0.001037888934159147,0.0042036700019641325,7,45,reg:squarederror,0.5823143579465739,gpu_hist,COMPLETE
1,0.6959275008305684,1.0652389506416822,0.9649610376560547,rmse,0.0020775716055173154,0.03498178818637933,9,203,reg:squarederror,0.9829581593340329,gpu_hist,COMPLETE
2,0.7057196654394235,0.017456271886959092,0.5614785661719333,rmse,3.978061140814467,0.09669392310486785,13,289,reg:squarederror,0.7298668967807476,gpu_hist,COMPLETE
3,0.6987346357125296,0.0013660325522214221,0.8838815142777878,rmse,0.0014194212551807053,0.009238828066615587,7,147,reg:squarederror,0.6130674744375461,gpu_hist,COMPLETE
4,0.7024061583622702,0.040914700126480734,0.8643510697567323,rmse,0.15571984855493298,0.029671411638499283,3,287,reg:squarederror,0.43591814010864927,gpu_hist,COMPLETE
5,0.6986918193100228,8.603618539333716,0.5822423115454693,rmse,2.402366629958217,0.048846552323797185,13,221,reg:squarederror,0.5075904821984953,gpu_hist,COMPLETE
6,0.6956394458369435,0.19799933745267256,0.8507404728175127,rmse,0.09953074374587069,0.016806397396840596,9,157,reg:squarederror,0.993650858869476,gpu_hist,COMPLETE
7,0.6999736063063864,0.008535678433100775,0.3275688526119827,rmse,0.010381227361555787,0.06329577881774454,3,5,reg:squarederror,0.8244374947807451,gpu_hist,COMPLETE
8,2.2659365585170153,0.005073251242955265,0.9726033925403692,rmse,0.003508560923234026,0.001237594075928423,5,196,reg:squarederror,0.5601713449590471,gpu_hist,COMPLETE
9,0.7027295591728199,0.1167028422121272,0.7957696691320048,rmse,0.001139461807444847,0.005470200822122645,7,207,reg:squarederror,0.5953033199850034,gpu_hist,COMPLETE
10,0.6952192580454816,0.3021723202583141,0.6815624579081543,rmse,0.11646162866204167,0.01861421578426582,9,97,reg:squarederror,0.9909793269078854,gpu_hist,COMPLETE
11,0.6956352583282827,0.31850031887066543,0.6929268827731646,rmse,0.0952212965915517,0.015747086784790396,9,101,reg:squarederror,0.998778387943561,gpu_hist,COMPLETE
12,0.695132607054451,0.6692522159980685,0.6807055747356056,rmse,0.1307263172935381,0.016519211099965656,9,93,reg:squarederror,0.8916338898911308,gpu_hist,COMPLETE
13,0.694791701893669,1.819226061114076,0.45755053214715347,rmse,0.4274142038661716,0.017872187702645273,15,80,reg:squarederror,0.8604127554018567,gpu_hist,COMPLETE
14,0.695393962279543,2.6980892834197343,0.42579811968102205,rmse,0.632399585215878,0.008093196103652259,15,70,reg:squarederror,0.8609370792125187,gpu_hist,COMPLETE
15,1.3974009759742378,1.460725077748897,0.4842732414625686,rmse,0.5626124899196953,0.0018188863109932737,20,18,reg:squarederror,0.8643048549177564,gpu_hist,COMPLETE
16,0.7652494203304301,9.442769448119435,0.3349402612137094,rmse,0.022035574741050463,0.0032820974118095807,17,128,reg:squarederror,0.7487905270209331,gpu_hist,COMPLETE
17,0.6953852979390139,0.6044150262672103,0.5851534952066778,rmse,9.697387309036868,0.02470228050572983,11,53,reg:squarederror,0.9063110795918987,gpu_hist,COMPLETE
18,0.6945634220895456,3.2325622176925157,0.46126203623711565,rmse,0.5584399147481631,0.011907589676921678,15,96,reg:squarederror,0.7934876450795468,gpu_hist,COMPLETE
