number,value,params_alpha,params_colsample_bytree,params_eval_metric,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_objective,params_subsample,params_tree_method,state
0,0.703160064868071,0.77381828555891,0.9408524330575181,rmse,0.03965997691620873,0.04453636837569166,20,172,reg:squarederror,0.9583024746072947,gpu_hist,COMPLETE
1,1.1910930773306354,1.0330582156802905,0.46100556182147884,rmse,0.3744480307940941,0.002049006474217463,20,45,reg:squarederror,0.4591284016138382,gpu_hist,COMPLETE
2,1.6992828399140905,0.0010910314605768413,0.5516457853268701,rmse,1.6348351311922023,0.0015719378805866373,3,85,reg:squarederror,0.9518492583334011,gpu_hist,COMPLETE
3,0.6944706463494573,0.07040698752320126,0.5454504484331186,rmse,0.005287071918733735,0.011120823867252173,13,255,reg:squarederror,0.8759117479114706,gpu_hist,COMPLETE
4,0.6955943951480885,4.149084672231842,0.832550447084615,rmse,0.11087246617967432,0.01781306291022331,9,277,reg:squarederror,0.46395097840040705,gpu_hist,COMPLETE
5,0.6957207764477755,0.010322056802300267,0.5770809596790111,rmse,0.0024781593170914978,0.00887211583152188,11,197,reg:squarederror,0.6695659827366784,gpu_hist,COMPLETE
6,1.6359841015029248,2.747374790528044,0.5724642704762106,rmse,0.006253188170332981,0.0016165275089770768,7,10,reg:squarederror,0.6826375252681404,gpu_hist,COMPLETE
7,0.707989490458337,1.073174289003733,0.5052383357713361,rmse,0.01851555096810061,0.012797911858553054,3,218,reg:squarederror,0.7308218249531877,gpu_hist,COMPLETE
8,0.6948001865147817,0.11540408988151687,0.8027184989992375,rmse,0.24592267581989796,0.010483813348518478,17,121,reg:squarederror,0.9254315077687003,gpu_hist,COMPLETE
9,0.694797071153981,3.989109619409684,0.386846206843414,rmse,0.4110928408071191,0.012610232759942087,15,239,reg:squarederror,0.8547776579447505,gpu_hist,COMPLETE
10,0.7051128999989914,0.06306980185199666,0.7097990095051308,rmse,0.0011395359158288872,0.08994547405221168,13,280,reg:squarederror,0.8203814743805615,gpu_hist,COMPLETE
11,0.7045082288381284,0.09785730360383672,0.4118826126563899,rmse,8.613306820472758,0.004758961820652962,15,238,reg:squarederror,0.8236068422172558,gpu_hist,COMPLETE
12,0.695204603753313,0.01587062417706232,0.31356585384113467,rmse,1.7571546114906265,0.030051081738558177,13,298,reg:squarederror,0.8191807948443744,gpu_hist,COMPLETE
13,0.7220120697904131,0.2368130312058426,0.33821487711263315,rmse,0.03089155266482053,0.004023132810629422,5,239,reg:squarederror,0.8633487389388872,gpu_hist,COMPLETE
14,0.7007999020370888,9.459095087916179,0.39910248074699556,rmse,0.009196489079143968,0.006256345290895498,15,139,reg:squarederror,0.5828118353148081,gpu_hist,COMPLETE
15,0.6971709061768969,0.016716820080016157,0.6680001906884347,rmse,0.903687767234883,0.035573963871651446,15,179,reg:squarederror,0.9992706589634969,gpu_hist,COMPLETE
16,0.6944041574088264,0.0022997686099499176,0.43967280335141673,rmse,0.07511474770797068,0.018434952634445397,13,251,reg:squarederror,0.7531371841526258,gpu_hist,COMPLETE
17,0.6945033839897389,0.0010839710455983298,0.6294765055245115,rmse,0.08072828564199086,0.021022663870502244,13,264,reg:squarederror,0.7535023689251723,gpu_hist,COMPLETE
18,0.7030643367682299,0.003916555127731075,0.4735689813047378,rmse,0.0047634006560196345,0.06857924911993799,13,209,reg:squarederror,0.6011186004224283,gpu_hist,COMPLETE
19,0.8323599879680572,0.003292862637621383,0.7444176615952157,rmse,0.001102440196808736,0.002798597900621272,13,107,reg:squarederror,0.7609396119377363,gpu_hist,COMPLETE
20,0.695306965613388,0.0386717629428779,0.990342810120314,rmse,0.1017112348809991,0.020307351783382947,9,156,reg:squarederror,0.6074160495599966,gpu_hist,COMPLETE
21,0.6947009630819687,0.001455728833059562,0.6199157944420413,rmse,0.05477661761084191,0.022260026331626076,13,263,reg:squarederror,0.756816002802805,gpu_hist,COMPLETE
22,0.6958509942485716,0.004178325531824985,0.5106934548313076,rmse,0.013832841485178259,0.007298182220077507,13,299,reg:squarederror,0.9052730763764901,gpu_hist,COMPLETE
